downcase_mesh_term,n,hiv_or_aids
hiv infections,4379,1
hiv seropositivity,104,1
aids-related complex,34,1
aids dementia complex,28,1
hiv-associated lipodystrophy syndrome,21,1
"lymphoma, aids-related",20,1
aids-related opportunistic infections,16,1
hiv wasting syndrome,13,1
aids-associated nephropathy,4,1
hiv enteropathy,4,1
diabetes mellitus,8347,
breast neoplasms,6351,
syndrome,5878,
"diabetes mellitus, type 2",5269,
disease,4416,
lung neoplasms,4402,
carcinoma,4282,
leukemia,4268,
lymphoma,4022,
depression,4020,
coronary artery disease,3947,
hypertension,3723,
"carcinoma, non-small-cell lung",3630,
infection,3584,
myocardial ischemia,3499,
prostatic neoplasms,3466,
coronary disease,3387,
neoplasms,3353,
heart failure,3281,
depressive disorder,3190,
colorectal neoplasms,3182,
lung diseases,3105,
osteoarthritis,2826,
cardiovascular diseases,2754,
hepatitis,2721,
stroke,2620,
"pulmonary disease, chronic obstructive",2559,
communicable diseases,2517,
kidney diseases,2494,
heart diseases,2477,
wounds and injuries,2449,
arthritis,2348,
schizophrenia,2319,
asthma,2263,
multiple myeloma,2148,
"leukemia, myeloid",2127,
"arthritis, rheumatoid",2102,
hepatitis a,2098,
sclerosis,2057,
"diabetes mellitus, type 1",2008,
"leukemia, lymphoid",1982,
fibrosis,1968,
parkinson disease,1960,
"lung diseases, obstructive",1958,
neoplasm metastasis,1923,
hepatitis c,1921,
"neoplasms, plasma cell",1902,
"leukemia, myeloid, acute",1873,
pancreatic neoplasms,1868,
adenocarcinoma,1831,
infarction,1813,
melanoma,1810,
head and neck neoplasms,1793,
atrial fibrillation,1781,
alzheimer disease,1732,
myocardial infarction,1688,
"lymphoma, non-hodgkin",1683,
"pain, postoperative",1675,
ischemia,1670,
renal insufficiency,1670,
hemorrhage,1641,
inflammation,1639,
multiple sclerosis,1639,
"depressive disorder, major",1632,
obesity,1547,
myelodysplastic syndromes,1543,
preleukemia,1540,
"renal insufficiency, chronic",1532,
ovarian neoplasms,1493,
"influenza, human",1454,
stomach neoplasms,1413,
"carcinoma, hepatocellular",1382,
ulcer,1382,
"osteoarthritis, knee",1362,
infertility,1339,
overweight,1338,
"kidney failure, chronic",1324,
back pain,1316,
cognitive dysfunction,1284,
"hepatitis, chronic",1275,
"carcinoma, squamous cell",1263,
acquired immunodeficiency syndrome,1239,
chronic disease,1228,
sleep apnea syndromes,1227,
precursor cell lymphoblastic leukemia-lymphoma,1225,
"fractures, bone",1180,
"carcinoma, renal cell",1179,
insulin resistance,1160,
brain injuries,1150,
low back pain,1139,
psoriasis,1134,
pneumonia,1133,
psychotic disorders,1128,
"leukemia, lymphocytic, chronic, b-cell",1122,
"sleep apnea, obstructive",1117,
esophageal neoplasms,1115,
premature birth,1100,
metabolic syndrome x,1091,
anxiety disorders,1086,
hepatitis b,1085,
osteoporosis,1085,
bipolar disorder,1071,
anemia,1062,
glaucoma,1049,
glioblastoma,1042,
liver diseases,1035,
mental disorders,1032,
immunologic deficiency syndromes,1018,
emergencies,1005,
atherosclerosis,1002,
"hepatitis c, chronic",1001,
"stress disorders, post-traumatic",979,
"lymphoma, b-cell",977,
cystic fibrosis,970,
sarcoma,966,
substance-related disorders,964,
apnea,959,
dementia,936,
crohn disease,931,
uterine cervical neoplasms,925,
weight loss,923,
hypersensitivity,908,
liver neoplasms,908,
critical illness,900,
peripheral arterial disease,898,
chronic pain,897,
thrombosis,870,
attention deficit disorder with hyperactivity,869,
"brain injuries, traumatic",869,
hypercholesterolemia,863,
malaria,861,
macular degeneration,856,
rhinitis,848,
epilepsy,839,
urinary bladder neoplasms,831,
spinal cord injuries,830,
brain neoplasms,826,
tuberculosis,824,
fatigue,817,
liver cirrhosis,815,
acute coronary syndrome,811,
recurrence,803,
hodgkin disease,791,
"respiratory distress syndrome, adult",791,
glioma,782,
dermatitis,772,
sepsis,765,
"stress disorders, traumatic",763,
"leukemia, myelogenous, chronic, bcr-abl positive",760,
rectal neoplasms,760,
aneurysm,755,
cataract,748,
"colitis, ulcerative",745,
"rhinitis, allergic",742,
migraine disorders,728,
respiratory insufficiency,722,
"lymphoma, large b-cell, diffuse",702,
alcoholism,686,
colitis,683,
peripheral vascular diseases,681,
vascular diseases,659,
virus diseases,658,
colonic neoplasms,654,
cardiomyopathies,646,
kidney neoplasms,644,
gastroesophageal reflux,641,
enuresis,635,
malnutrition,635,
tobacco use disorder,635,
body weight,634,
urinary incontinence,633,
neuralgia,632,
"hypertension, pulmonary",630,
fatty liver,624,
eczema,618,
acute kidney injury,615,
vomiting,613,
hyperplasia,612,
"dermatitis, atopic",603,
sleep initiation and maintenance disorders,601,
dyslipidemias,599,
headache,598,
autistic disorder,595,
hyperkinesis,589,
hernia,584,
constipation,582,
macular edema,577,
atrophy,574,
"constriction, pathologic",574,
diarrhea,572,
"anemia, sickle cell",569,
"respiratory distress syndrome, newborn",564,
central nervous system neoplasms,563,
"glaucoma, open-angle",560,
small cell lung carcinoma,551,
graft vs host disease,550,
inflammatory bowel diseases,549,
thromboembolism,549,
intestinal diseases,548,
non-alcoholic fatty liver disease,547,
nervous system neoplasms,546,
irritable bowel syndrome,544,
"lymphoma, follicular",540,
"hepatitis b, chronic",538,
fibromyalgia,537,
endometrial neoplasms,531,
seizures,531,
edema,527,
hyperlipidemias,521,
autism spectrum disorder,520,
fallopian tube neoplasms,517,
myofascial pain syndromes,515,
cerebral palsy,511,
thyroid diseases,506,
"lupus erythematosus, systemic",503,
heart arrest,501,
periodontitis,499,
"lymphoma, t-cell",498,
hemophilia a,496,
"lymphoma, mantle-cell",487,
hyperlipoproteinemias,484,
hypoxia,484,
venous thrombosis,480,
respiratory tract infections,479,
glucose intolerance,477,
"urinary bladder, overactive",476,
polycystic ovary syndrome,475,
peripheral nervous system diseases,474,
"neoplasms, second primary",469,
retinal diseases,466,
vitamin d deficiency,465,
congenital abnormalities,462,
delirium,460,
"obesity, morbid",460,
neuroblastoma,457,
dry eye syndromes,456,
keratoconjunctivitis sicca,456,
ocular hypertension,456,
toxemia,456,
pediatric obesity,454,
thyroid neoplasms,454,
aortic valve stenosis,453,
embolism,452,
cerebral infarction,447,
nausea,445,
"shock, septic",444,
diabetic foot,440,
sleep wake disorders,440,
acute lung injury,439,
parasomnias,439,
prediabetic state,439,
aortic aneurysm,436,
motor neuron disease,434,
metabolic diseases,430,
myeloproliferative disorders,429,
postoperative complications,427,
shock,423,
respiratory aspiration,419,
familial primary pulmonary hypertension,418,
"multiple sclerosis, relapsing-remitting",418,
amyotrophic lateral sclerosis,417,
paralysis,416,
fever,415,
hearing loss,413,
prostatic hyperplasia,413,
hypertrophy,409,
mycoses,406,
venous thromboembolism,403,
hypotension,402,
diabetic retinopathy,399,
dental caries,397,
tachycardia,394,
"anemia, iron-deficiency",393,
joint diseases,393,
cocaine-related disorders,385,
erectile dysfunction,385,
urinary tract infections,383,
prolapse,382,
hyperglycemia,381,
st elevation myocardial infarction,381,
carcinoma in situ,380,
nasopharyngeal neoplasms,380,
opioid-related disorders,377,
triple negative breast neoplasms,377,
"heart defects, congenital",376,
"carcinoma, transitional cell",373,
foot ulcer,373,
pulmonary embolism,373,
alcohol drinking,371,
nervous system diseases,371,
pre-eclampsia,371,
pancreatitis,366,
hip fractures,358,
thrombocytopenia,356,
"child development disorders, pervasive",353,
cholangiocarcinoma,351,
bacterial infections,350,
brain diseases,349,
plasmacytoma,348,
angina pectoris,345,
pulmonary fibrosis,343,
acne vulgaris,342,
hypoglycemia,341,
"neoplasms, glandular and epithelial",341,
fistula,339,
diabetic neuropathies,336,
peritoneal neoplasms,335,
neuroendocrine tumors,333,
gastrointestinal neoplasms,328,
"diabetes, gestational",326,
acute pain,324,
obsessive-compulsive disorder,321,
neck pain,319,
compulsive personality disorder,318,
adenoma,317,
hypothermia,316,
paresis,316,
mesothelioma,313,
muscular dystrophies,313,
"rhinitis, allergic, seasonal",307,
birth weight,303,
blood coagulation disorders,303,
hemostatic disorders,303,
burns,300,
necrosis,300,
endometriosis,298,
conjunctivitis,297,
psychomotor agitation,296,
feeding and eating disorders,291,
gastrointestinal diseases,290,
mood disorders,290,
skin neoplasms,290,
"urinary incontinence, stress",286,
astrocytoma,285,
"scleroderma, systemic",285,
rupture,284,
"scleroderma, diffuse",284,
deafness,282,
sinusitis,280,
neutropenia,278,
surgical wound infection,278,
leiomyoma,277,
"aortic aneurysm, abdominal",276,
diabetic nephropathies,274,
suicide,272,
hypogonadism,270,
meningitis,269,
muscle spasticity,269,
spondylitis,269,
postoperative nausea and vomiting,267,
eye diseases,266,
keratosis,264,
"spondylitis, ankylosing",264,
surgical wound,263,
waldenstrom macroglobulinemia,261,
"osteoarthritis, hip",260,
sarcopenia,260,
"keratosis, actinic",258,
digestive system diseases,257,
myofibroma,257,
"neoplasms, germ cell and embryonal",257,
intervertebral disc degeneration,256,
idiopathic pulmonary fibrosis,252,
subarachnoid hemorrhage,251,
"lymphoma, b-cell, marginal zone",250,
pelvic organ prolapse,249,
"arthritis, psoriatic",248,
osteosarcoma,248,
idiopathic interstitial pneumonias,247,
"hernia, inguinal",246,
arteriosclerosis,245,
primary myelofibrosis,245,
mucositis,244,
rotator cuff injuries,242,
"anemia, aplastic",241,
thalassemia,240,
chronic periodontitis,239,
bronchiolitis,238,
burkitt lymphoma,238,
problem behavior,238,
wound infection,238,
dyspnea,237,
emphysema,236,
amyloidosis,235,
hyperparathyroidism,233,
marijuana abuse,231,
myopia,229,
anorexia,228,
"lymphoma, t-cell, cutaneous",227,
"stress, psychological",227,
"purpura, thrombocytopenic, idiopathic",226,
uveitis,226,
"malaria, falciparum",225,
esophagitis,224,
hematologic diseases,223,
lung injury,222,
cerebral hemorrhage,221,
gastrointestinal stromal tumors,221,
cervical intraepithelial neoplasia,219,
chest pain,219,
weight gain,218,
diphtheria,217,
heart valve diseases,217,
periodontal diseases,217,
"angina, stable",216,
barrett esophagus,216,
gingival diseases,216,
"muscular dystrophy, duchenne",216,
alopecia,215,
"bone diseases, metabolic",214,
cytomegalovirus infections,214,
autoimmune diseases,213,
"neovascularization, pathologic",213,
sexually transmitted diseases,213,
shoulder pain,213,
brain ischemia,212,
deglutition disorders,212,
herpes zoster,212,
muscular atrophy,211,
cognition disorders,210,
dyspepsia,210,
"dwarfism, pituitary",209,
postpartum hemorrhage,209,
purpura,209,
death,208,
"lymphoma, t-cell, peripheral",208,
muscle weakness,208,
myelodysplastic-myeloproliferative diseases,207,
nephrolithiasis,206,
"conjunctivitis, allergic",205,
endocrine system diseases,205,
kidney calculi,205,
lymphedema,205,
disease progression,204,
dystonia,204,
uterine neoplasms,204,
papillomavirus infections,203,
acute disease,202,
aggression,202,
precancerous conditions,202,
candidiasis,201,
"carcinoma, basal cell",201,
helicobacter infections,201,
"osteoporosis, postmenopausal",201,
scoliosis,201,
wet macular degeneration,201,
skin diseases,200,
gliosarcoma,199,
oropharyngeal neoplasms,198,
"pneumonia, ventilator-associated",198,
"leukemia, myelomonocytic, juvenile",197,
intracranial aneurysm,195,
alopecia areata,194,
bacteremia,194,
bronchitis,193,
spinal stenosis,193,
disease susceptibility,192,
respiratory tract diseases,192,
"leukemia, myelomonocytic, chronic",191,
pressure ulcer,191,
bone neoplasms,190,
otitis media,189,
retinal vein occlusion,189,
varicose ulcer,189,
"lung diseases, interstitial",188,
"phobia, social",188,
lower urinary tract symptoms,187,
meningococcal infections,187,
pleural effusion,187,
abdominal pain,185,
appendicitis,185,
gallstones,185,
hypertriglyceridemia,185,
"tachycardia, ventricular",185,
lymphoproliferative disorders,184,
tinnitus,184,
mitral valve insufficiency,183,
pulmonary valve insufficiency,183,
stomatitis,183,
choroidal neovascularization,182,
gastroenteritis,182,
"purpura, thrombocytopenic",182,
"angina, unstable",181,
"death, sudden, cardiac",181,
retinitis,181,
brain concussion,179,
anorexia nervosa,178,
"arrhythmias, cardiac",178,
staphylococcal infections,178,
drug-related side effects and adverse reactions,177,
leg ulcer,177,
otitis,177,
personality disorders,177,
arterial occlusive diseases,176,
dystonic disorders,176,
astigmatism,175,
polyps,175,
pelvic pain,174,
reperfusion injury,173,
somatoform disorders,173,
gastrointestinal hemorrhage,172,
hot flashes,172,
mycosis fungoides,172,
tendinopathy,172,
"epilepsies, partial",171,
"arthritis, juvenile",170,
carpal tunnel syndrome,170,
neurofibroma,170,
"sarcoma, ewing",170,
dyssomnias,169,
carotid stenosis,168,
liver failure,168,
cachexia,167,
hematologic neoplasms,167,
bone diseases,166,
cerebrovascular disorders,166,
coronary stenosis,166,
ventricular dysfunction,166,
whooping cough,166,
bulimia,164,
"depressive disorder, treatment-resistant",164,
down syndrome,164,
gingivitis,164,
"infertility, female",164,
testicular neoplasms,164,
"ischemic attack, transient",163,
musculoskeletal diseases,163,
cystitis,162,
fecal incontinence,162,
hemophilia b,162,
"leukemia, myelomonocytic, acute",162,
pulmonary emphysema,162,
eclampsia,161,
signs and symptoms,161,
"behavior, addictive",160,
restless legs syndrome,160,
panic disorder,159,
encephalitis,158,
"lymphoma, large-cell, anaplastic",158,
oligodendroglioma,158,
"depression, postpartum",157,
bronchopulmonary dysplasia,156,
"rhinitis, allergic, perennial",156,
spondylarthritis,156,
bone marrow diseases,155,
keratoconus,155,
biliary tract neoplasms,154,
calculi,154,
gastroparesis,154,
"obstetric labor, premature",154,
sarcoidosis,154,
pneumococcal infections,153,
rheumatic diseases,153,
aphasia,152,
cholestasis,152,
rhabdomyosarcoma,152,
"tuberculosis, pulmonary",152,
cancer pain,151,
bronchiectasis,150,
huntington disease,150,
mycobacterium infections,149,
poliomyelitis,149,
respiration disorders,149,
"cardiomyopathy, dilated",148,
dyskinesias,148,
"neoplastic cells, circulating",147,
acromegaly,146,
celiac disease,146,
"leukemia, myeloid, chronic-phase",146,
neurofibromatoses,146,
bradycardia,145,
"hyperparathyroidism, secondary",145,
refractive errors,145,
digestive system neoplasms,144,
"hypertension, portal",144,
primary ovarian insufficiency,144,
food hypersensitivity,143,
gastritis,143,
proteinuria,143,
radius fractures,143,
polycythemia,142,
radiculopathy,142,
carotid artery diseases,141,
polyneuropathies,141,
urticaria,141,
ascites,140,
beta-thalassemia,140,
"carcinoma, neuroendocrine",140,
dengue,140,
laryngeal neoplasms,139,
pregnancy complications,139,
femoral fractures,138,
developmental disabilities,137,
leishmaniasis,137,
nutrition disorders,137,
sjogren's syndrome,137,
ataxia,136,
cholelithiasis,136,
"lymphoma, extranodal nk-t-cell",136,
medulloblastoma,136,
rosacea,136,
tremor,136,
anus neoplasms,135,
calcinosis,135,
cholecystolithiasis,135,
"cystitis, interstitial",135,
"genetic diseases, inborn",135,
intermittent claudication,135,
neurofibromatosis 1,135,
papilloma,134,
enterocolitis,133,
labor pain,133,
"ventricular dysfunction, left",133,
"abortion, spontaneous",132,
ankle injuries,132,
anterior cruciate ligament injuries,132,
cough,132,
mouth neoplasms,132,
out-of-hospital cardiac arrest,132,
nephritis,131,
temporomandibular joint disorders,131,
aspergillosis,130,
fabry disease,130,
peptic ulcer,130,
temporomandibular joint dysfunction syndrome,130,
craniocerebral trauma,129,
lipodystrophy,129,
polycythemia vera,129,
pruritus,129,
"hernia, ventral",128,
hyperlipoproteinemia type ii,128,
iron overload,128,
sezary syndrome,128,
musculoskeletal pain,127,
wasting syndrome,127,
intestinal neoplasms,126,
"neuroectodermal tumors, primitive",126,
tourette syndrome,126,
herpes simplex,125,
"neuralgia, postherpetic",125,
bile duct neoplasms,124,
cholangitis,124,
muscular diseases,124,
pain,124,
"pancreatitis, chronic",124,
"thrombocythemia, essential",124,
"cardiomyopathy, hypertrophic",123,
"leukemia, t-cell",123,
pharyngitis,123,
tetanus,123,
atrial flutter,122,
fetal growth retardation,122,
vasculitis,122,
cone-rod dystrophies,121,
gallbladder neoplasms,121,
retinitis pigmentosa,121,
"sarcoma, kaposi",121,
"lymphoma, large-cell, immunoblastic",120,
plasmablastic lymphoma,120,
spinal diseases,120,
thrombocytosis,120,
binge-eating disorder,119,
"bronchitis, chronic",119,
"carcinoma, intraductal, noninfiltrating",119,
memory disorders,119,
neuroectodermal tumors,119,
borderline personality disorder,118,
"leukemia-lymphoma, adult t-cell",118,
neuromuscular diseases,118,
spondylolisthesis,118,
syncope,118,
"vaginosis, bacterial",118,
gingival recession,117,
hepatic encephalopathy,117,
hypothyroidism,117,
malocclusion,117,
sleep deprivation,117,
colonic polyps,116,
menorrhagia,116,
movement disorders,116,
eosinophilic esophagitis,115,
hyperalgesia,115,
"obesity, abdominal",115,
systemic inflammatory response syndrome,115,
tissue adhesions,115,
hemangioma,114,
arthralgia,113,
blast crisis,113,
"carcinoma, ductal",113,
deficiency diseases,113,
onychomycosis,113,
presbyopia,113,
venous insufficiency,113,
"aphasia, primary progressive",112,
ependymoma,112,
frontotemporal dementia,112,
hemiplegia,112,
lupus nephritis,112,
pick disease of the brain,112,
varicose veins,112,
cerebellar ataxia,111,
collagen diseases,111,
essential tremor,111,
hypercapnia,111,
mucopolysaccharidoses,111,
carcinoid tumor,110,
intellectual disability,110,
hyperphosphatemia,109,
streptococcal infections,109,
suicidal ideation,109,
arteriovenous fistula,108,
end stage liver disease,108,
poisoning,108,
retinal detachment,108,
acidosis,107,
common cold,107,
myalgia,107,
pituitary diseases,107,
respiratory syncytial virus infections,107,
"breast neoplasms, male",106,
cicatrix,106,
coinfection,106,
hyponatremia,106,
polycystic kidney diseases,106,
telangiectasis,106,
dysmenorrhea,105,
philadelphia chromosome,105,
urinary retention,105,
xerostomia,105,
cross infection,104,
femoral neck fractures,104,
"heart failure, systolic",104,
hydrocephalus,104,
peritonitis,104,
vaginal diseases,104,
"enterocolitis, necrotizing",103,
osteonecrosis,102,
"cystadenocarcinoma, serous",101,
gonadal dysgenesis,101,
"neoplasms, squamous cell",101,
ventricular fibrillation,101,
immunoblastic lymphadenopathy,100,
turner syndrome,100,
cardiotoxicity,99,
glucose metabolism disorders,98,
"hypoxia-ischemia, brain",98,
influenza in birds,98,
"muscular atrophy, spinal",98,
pulmonary atelectasis,98,
vitiligo,98,
chickenpox,97,
angioedema,96,
body weight changes,96,
dentin sensitivity,96,
"hearing loss, sensorineural",96,
latent tuberculosis,96,
"aortic aneurysm, thoracic",95,
"dilatation, pathologic",95,
"hemoglobinuria, paroxysmal",95,
"neoplasms, unknown primary",95,
spinal cord diseases,95,
"fatigue syndrome, chronic",94,
glycogen storage disease type ii,94,
neurotoxicity syndromes,94,
prehypertension,94,
uveal neoplasms,94,
"adenoma, islet cell",93,
complex regional pain syndromes,93,
diabetes complications,93,
"heart failure, diastolic",93,
meningioma,93,
neurodegenerative diseases,93,
"pneumonia, bacterial",93,
reflex sympathetic dystrophy,93,
shoulder impingement syndrome,93,
"blood loss, surgical",92,
bursitis,92,
dizziness,92,
fasciitis,92,
gaucher disease,92,
humeral fractures,92,
intervertebral disc displacement,92,
sprains and strains,92,
vulvar neoplasms,92,
hyperphagia,91,
hyperuricemia,91,
"infertility, male",91,
"liver cirrhosis, biliary",91,
ureteral neoplasms,91,
vision disorders,91,
"death, sudden",90,
dissociative disorders,90,
immune system diseases,90,
invasive fungal infections,90,
rotavirus infections,90,
vertigo,90,
cholecystitis,89,
contracture,89,
retinopathy of prematurity,89,
acalculous cholecystitis,88,
diverticulitis,88,
"glomerulonephritis, iga",88,
hematoma,88,
measles,88,
nasal polyps,88,
abscess,87,
ankle fractures,87,
dehydration,87,
dwarfism,87,
hemolysis,87,
incisional hernia,87,
phobic disorders,87,
"polycystic kidney, autosomal dominant",87,
salivary gland neoplasms,87,
wilms tumor,87,
altitude sickness,86,
lipid metabolism disorders,86,
lymphomatoid granulomatosis,86,
"neoplasm, residual",86,
nephrotic syndrome,86,
torticollis,86,
uterine cervical dysplasia,86,
blindness,85,
intracranial hemorrhages,85,
"leukemia, hairy cell",85,
nephrosis,85,
tennis elbow,85,
breast carcinoma in situ,84,
dental plaque,84,
heartburn,84,
hemorrhoids,84,
intracranial hypertension,84,
knee injuries,84,
laryngeal diseases,84,
"multiple sclerosis, chronic progressive",84,
patellofemoral pain syndrome,84,
stomach ulcer,84,
toothache,84,
uterine hemorrhage,84,
"ductus arteriosus, patent",83,
exocrine pancreatic insufficiency,83,
facies,83,
"genital neoplasms, female",83,
gout,83,
growth disorders,83,
"hypertrophy, left ventricular",83,
joint dislocations,83,
"suicide, attempted",83,
warts,83,
esophageal and gastric varices,82,
gambling,82,
jaundice,82,
"leukemia, erythroblastic, acute",82,
"leukemia, promyelocytic, acute",82,
"sexual dysfunctions, psychological",82,
thyroid nodule,82,
urolithiasis,82,
drug resistant epilepsy,81,
hypoventilation,81,
leiomyosarcoma,81,
"leukemia, prolymphocytic",81,
"meningitis, meningococcal",81,
optic nerve diseases,81,
quadriplegia,81,
radiation injuries,81,
retinoblastoma,81,
spinal fractures,81,
"leukemia, megakaryoblastic, acute",80,
"leukemia, monocytic, acute",80,
nerve sheath neoplasms,80,
"scleroderma, localized",80,
substance withdrawal syndrome,80,
phenylketonurias,79,
"pleural effusion, malignant",79,
"urinary incontinence, urge",79,
"vision, low",79,
cystadenocarcinoma,78,
granulomatosis with polyangiitis,78,
heroin dependence,78,
intraabdominal infections,78,
parkinsonian disorders,78,
pituitary neoplasms,78,
pneumothorax,78,
amblyopia,77,
cartilage diseases,77,
coronary restenosis,77,
geographic atrophy,77,
hypovolemia,77,
keratoconjunctivitis,77,
peanut hypersensitivity,77,
"skin diseases, infectious",77,
"abortion, habitual",76,
adrenal insufficiency,76,
albuminuria,76,
emergence delirium,76,
febrile neutropenia,76,
hepatic insufficiency,76,
postthrombotic syndrome,76,
retinal perforations,76,
spasm,76,
"urinary bladder, neurogenic",76,
arteritis,75,
autonomic nervous system diseases,75,
colonic diseases,75,
"hypotension, orthostatic",75,
metaplasia,75,
pseudomonas infections,75,
tibial fractures,75,
airway obstruction,74,
"carcinoma, ductal, breast",74,
"cholangitis, sclerosing",74,
"jaw, edentulous",74,
"metabolism, inborn errors",74,
pterygium,74,
"angioedemas, hereditary",73,
"fasciitis, plantar",73,
"gait disorders, neurologic",73,
glomerulonephritis,73,
"hip dislocation, congenital",73,
"pneumonia, pneumocystis",73,
pulpitis,73,
tooth loss,73,
vaginal neoplasms,73,
colic,72,
hyperhidrosis,72,
multiple system atrophy,72,
neonatal sepsis,72,
postphlebitic syndrome,72,
prader-willi syndrome,72,
rubella,72,
alpha 1-antitrypsin deficiency,71,
attention deficit and disruptive behavior disorders,71,
central nervous system diseases,71,
erythema,71,
headache disorders,71,
ovarian hyperstimulation syndrome,71,
"supranuclear palsy, progressive",71,
alcohol-related disorders,70,
avitaminosis,70,
breast diseases,70,
bulimia nervosa,70,
epidermolysis bullosa,70,
"fetal membranes, premature rupture",70,
heart septal defects,70,
intestinal obstruction,70,
"leishmaniasis, cutaneous",70,
"menopause, premature",70,
neurilemmoma,70,
neuritis,70,
non-st elevated myocardial infarction,70,
phantom limb,70,
respiratory sounds,70,
short bowel syndrome,70,
alveolar bone loss,69,
shy-drager syndrome,69,
chlamydia infections,68,
"dementia, vascular",68,
endocarditis,68,
granuloma,68,
hyperbilirubinemia,68,
liposarcoma,68,
mitochondrial diseases,68,
myositis,68,
nocturia,68,
dermatomyositis,67,
esophageal achalasia,67,
hyperopia,67,
lymphadenopathy,67,
mobility limitation,67,
primary dysautonomias,67,
pulmonary edema,67,
systemic vasculitis,67,
bronchiolitis obliterans,66,
"encephalitis, japanese",66,
hemoglobinuria,66,
ileus,66,
intraocular lymphoma,66,
"leukemia, myeloid, accelerated phase",66,
milk hypersensitivity,66,
multiple organ failure,66,
pancytopenia,66,
peri-implantitis,66,
rickets,66,
