downcase_mesh_term,n,hiv_or_aids
sciatica,66,
strabismus,66,
"tuberculosis, multidrug-resistant",66,
vaginitis,66,
"carcinoma, small cell",65,
fanconi syndrome,65,
genetic predisposition to disease,65,
giant cell arteritis,65,
gonorrhea,65,
"adenocarcinoma, clear cell",64,
"anemia, refractory, with excess of blasts",64,
cellulitis,64,
hypereosinophilic syndrome,64,
neurodevelopmental disorders,64,
"plaque, atherosclerotic",64,
"sleep disorders, circadian rhythm",64,
tooth diseases,64,
urethral neoplasms,64,
urologic diseases,64,
connective tissue diseases,63,
"genetic diseases, x-linked",63,
glycogen storage disease,63,
hip dislocation,63,
impulsive behavior,63,
keratitis,63,
lichen planus,63,
narcolepsy,63,
rectal fistula,63,
agnosia,62,
"anemia, refractory",62,
"carcinoma, adenosquamous",62,
cytomegalovirus retinitis,62,
diverticulum,62,
fanconi anemia,62,
fragile x syndrome,62,
hallucinations,62,
"hemorrhagic fevers, viral",62,
pathologic processes,62,
thymoma,62,
tinea,62,
"carcinoma, endometrioid",61,
catheter-related infections,61,
cluster headache,61,
graves disease,61,
"hepatitis, alcoholic",61,
lewy body disease,61,
postoperative hemorrhage,61,
spinal dysraphism,61,
"colorectal neoplasms, hereditary nonpolyposis",60,
graves ophthalmopathy,60,
inflammatory breast neoplasms,60,
multiple pulmonary nodules,60,
myasthenia gravis,60,
pheochromocytoma,60,
polymyalgia rheumatica,60,
port-wine stain,60,
post-concussion syndrome,60,
tonsillitis,60,
urologic neoplasms,60,
vaccinia,60,
vascular malformations,60,
aortic valve insufficiency,59,
arteriovenous malformations,59,
condylomata acuminata,59,
epiretinal membrane,59,
smallpox,59,
thymus neoplasms,59,
vulvodynia,59,
breakthrough pain,58,
cushing syndrome,58,
"hypertension, pregnancy-induced",58,
lacerations,58,
malignant carcinoid syndrome,58,
mouth diseases,58,
"mouth, edentulous",58,
raynaud disease,58,
"sleep apnea, central",58,
soft tissue infections,58,
uterine prolapse,58,
"carcinoma, verrucous",57,
cleft palate,57,
conduct disorder,57,
consciousness disorders,57,
diabetes insipidus,57,
hallux valgus,57,
keloid,57,
"malaria, vivax",57,
pancreatic diseases,57,
"shock, cardiogenic",57,
"hemangioma, capillary",56,
"hemorrhagic fever, ebola",56,
hidradenitis,56,
migraine with aura,56,
mycobacterium avium-intracellulare infection,56,
rabies,56,
stillbirth,56,
asperger syndrome,55,
capsule opacification,55,
multiple trauma,55,
pyelonephritis,55,
sick sinus syndrome,55,
central serous chorioretinopathy,54,
duodenal ulcer,54,
"esophagitis, peptic",54,
"fractures, stress",54,
"granulomatous disease, chronic",54,
hidradenitis suppurativa,54,
hyperinsulinism,54,
tuberous sclerosis,54,
ventricular remodeling,54,
adrenocortical carcinoma,53,
endocrine gland neoplasms,53,
"foramen ovale, patent",53,
hyperaldosteronism,53,
premature ejaculation,53,
premenstrual syndrome,53,
behcet syndrome,52,
cysts,52,
germinoma,52,
"glomerulosclerosis, focal segmental",52,
helminthiasis,52,
herpes genitalis,52,
hypokinesia,52,
"liver failure, acute",52,
mastocytosis,52,
neurocognitive disorders,52,
paranasal sinus neoplasms,52,
prostatitis,52,
radiodermatitis,52,
self-injurious behavior,52,
severe combined immunodeficiency,52,
tension-type headache,52,
anovulation,51,
antiphospholipid syndrome,51,
"carcinoma, adenoid cystic",51,
cholera,51,
endotoxemia,51,
"hyperparathyroidism, primary",51,
"leukemia, large granular lymphocytic",51,
malabsorption syndromes,51,
nerve compression syndromes,51,
paraplegia,51,
postural orthostatic tachycardia syndrome,51,
spinocerebellar degenerations,51,
spondylosis,51,
tics,51,
unconsciousness,51,
ureteral calculi,51,
ureterolithiasis,51,
"amputation, traumatic",50,
anastomotic leak,50,
asphyxia,50,
"candidiasis, invasive",50,
"cardiac output, low",50,
coronary occlusion,50,
"dermatitis, contact",50,
friedreich ataxia,50,
"genital diseases, female",50,
"infant, newborn, diseases",50,
neurobehavioral manifestations,50,
pneumoperitoneum,50,
pregnancy in diabetics,50,
tic disorders,50,
"vasospasm, intracranial",50,
von willebrand diseases,50,
"adenocarcinoma, mucinous",49,
delayed graft function,49,
dysphonia,49,
hemoglobinopathies,49,
histiocytosis,49,
hyperthyroidism,49,
long qt syndrome,49,
otitis media with effusion,49,
rhabdoid tumor,49,
"sarcoma, synovial",49,
skin ulcer,49,
status epilepticus,49,
tinea pedis,49,
tongue neoplasms,49,
adenoviridae infections,48,
alcoholic intoxication,48,
amphetamine-related disorders,48,
cutis laxa,48,
dupuytren contracture,48,
neurologic manifestations,48,
optic neuritis,48,
osteomyelitis,48,
perceptual disorders,48,
"telangiectasia, hereditary hemorrhagic",48,
"tooth, impacted",48,
viremia,48,
adenomatous polyps,47,
amenorrhea,47,
"arthritis, infectious",47,
candidemia,47,
charcot-marie-tooth disease,47,
chromosome disorders,47,
ganglion cysts,47,
hereditary sensory and motor neuropathy,47,
"leishmaniasis, visceral",47,
lip neoplasms,47,
melanosis,47,
"neuroectodermal tumors, primitive, peripheral",47,
"pain, intractable",47,
peptic ulcer hemorrhage,47,
spinocerebellar ataxias,47,
adenomatous polyposis coli,46,
asphyxia neonatorum,46,
chagas disease,46,
corneal diseases,46,
coronary vasospasm,46,
facial pain,46,
failed back surgery syndrome,46,
failure to thrive,46,
migraine without aura,46,
pancreatic cyst,46,
vestibular diseases,46,
acute-on-chronic liver failure,45,
"adrenal hyperplasia, congenital",45,
adrenocortical hyperfunction,45,
adrenogenital syndrome,45,
"carcinoma, merkel cell",45,
child nutrition disorders,45,
cleft lip,45,
"glomerulonephritis, membranous",45,
"lichen planus, oral",45,
mucopolysaccharidosis i,45,
muscle cramp,45,
pelvic floor disorders,45,
schistosomiasis,45,
syphilis,45,
bone resorption,44,
"candidiasis, vulvovaginal",44,
"cardiac complexes, premature",44,
delayed emergence from anesthesia,44,
hypoplastic left heart syndrome,44,
metrorrhagia,44,
microscopic polyangiitis,44,
shoulder fractures,44,
"tachycardia, supraventricular",44,
adenomyosis,43,
aneuploidy,43,
carcinosarcoma,43,
chondrosarcoma,43,
"endocarditis, bacterial",43,
fetal death,43,
herpes labialis,43,
meningeal carcinomatosis,43,
"signs and symptoms, respiratory",43,
squamous intraepithelial lesions of the cervix,43,
vitamin a deficiency,43,
anthrax,42,
athletic injuries,42,
dyslexia,42,
flushing,42,
gestational trophoblastic disease,42,
"glaucoma, angle-closure",42,
"hernia, diaphragmatic",42,
hyperandrogenism,42,
hypoparathyroidism,42,
joint instability,42,
"mixed tumor, mullerian",42,
nasal obstruction,42,
nocturnal enuresis,42,
paraproteinemias,42,
peripheral nerve injuries,42,
"polyradiculoneuropathy, chronic inflammatory demyelinating",42,
post-dural puncture headache,42,
renal artery obstruction,42,
"rhabdomyosarcoma, embryonal",42,
snoring,42,
tardive dyskinesia,42,
thrombophilia,42,
tricuspid valve insufficiency,42,
adamantinoma,41,
"fractures, compression",41,
"heart septal defects, atrial",41,
"hernias, diaphragmatic, congenital",41,
hyperoxia,41,
"jaw, edentulous, partially",41,
"neuroma, acoustic",41,
night blindness,41,
osteoporotic fractures,41,
precursor t-cell lymphoblastic leukemia-lymphoma,41,
tetralogy of fallot,41,
trigeminal neuralgia,41,
vascular calcification,41,
bacteriuria,40,
chromosome aberrations,40,
common variable immunodeficiency,40,
craniopharyngioma,40,
drug overdose,40,
dysentery,40,
eosinophilia,40,
hypospadias,40,
"lymphohistiocytosis, hemophagocytic",40,
"meningitis, cryptococcal",40,
neuromyelitis optica,40,
obstetric labor complications,40,
rett syndrome,40,
blepharitis,39,
endometrial hyperplasia,39,
filariasis,39,
"fractures, closed",39,
"histiocytosis, langerhans-cell",39,
hypercalcemia,39,
hyperkalemia,39,
lice infestations,39,
neonatal abstinence syndrome,39,
neuroma,39,
paraganglioma,39,
parasitic diseases,39,
pelvic neoplasms,39,
"puberty, precocious",39,
pulmonary aspergillosis,39,
pure autonomic failure,39,
"shock, hemorrhagic",39,
tetany,39,
trophoblastic neoplasms,39,
urogenital neoplasms,39,
breast cancer lymphedema,38,
"burnout, professional",38,
"carcinoma, lobular",38,
carotid body tumor,38,
"cicatrix, hypertrophic",38,
enteritis,38,
esophageal diseases,38,
heart block,38,
"infant, premature, diseases",38,
"leukemia, b-cell",38,
"neurofibroma, plexiform",38,
pancreatic fistula,38,
severe dengue,38,
shoulder dislocation,38,
urinary bladder diseases,38,
vulvar vestibulitis,38,
anaphylaxis,37,
brain death,37,
bronchial spasm,37,
chemical and drug induced liver injury,37,
compartment syndromes,37,
disorders of excessive somnolence,37,
dyspareunia,37,
dysthymic disorder,37,
epistaxis,37,
gallbladder diseases,37,
hemochromatosis,37,
hoarseness,37,
hydronephrosis,37,
ketosis,37,
"liver diseases, alcoholic",37,
low tension glaucoma,37,
mucopolysaccharidosis ii,37,
optic nerve glioma,37,
periapical periodontitis,37,
pilonidal sinus,37,
retinal degeneration,37,
spinal injuries,37,
spondylarthropathies,37,
trisomy,37,
"urea cycle disorders, inborn",37,
vitamin b 12 deficiency,37,
aggressive periodontitis,36,
"anemia, hemolytic",36,
"asthma, exercise-induced",36,
atrioventricular block,36,
clubfoot,36,
epstein-barr virus infections,36,
"hypersensitivity, immediate",36,
laryngopharyngeal reflux,36,
nerve degeneration,36,
obesity hypoventilation syndrome,36,
osteogenesis imperfecta,36,
post-traumatic headache,36,
teratoma,36,
thoracic neoplasms,36,
agammaglobulinemia,35,
"anemia, diamond-blackfan",35,
brain edema,35,
bronchial hyperreactivity,35,
bundle-branch block,35,
"encephalitis, tick-borne",35,
equinus deformity,35,
fissure in ano,35,
hashimoto disease,35,
klatskin tumor,35,
leg injuries,35,
"optic neuropathy, ischemic",35,
ovarian cysts,35,
"pemphigoid, bullous",35,
pemphigus,35,
pinealoma,35,
placenta previa,35,
polymyositis,35,
renal colic,35,
severe acute malnutrition,35,
talipes,35,
typhoid fever,35,
"uveitis, anterior",35,
acth-secreting pituitary adenoma,34,
adrenal gland neoplasms,34,
aortic arch syndromes,34,
"cholecystitis, acute",34,
confusion,34,
hemolytic-uremic syndrome,34,
"hydrocephalus, normal pressure",34,
lymphangioleiomyomatosis,34,
myotonic dystrophy,34,
neurofibrosarcoma,34,
takayasu arteritis,34,
"thyroid carcinoma, anaplastic",34,
whiplash injuries,34,
adrenoleukodystrophy,33,
blepharospasm,33,
"candidiasis, oral",33,
cardio-renal syndrome,33,
chordoma,33,
churg-strauss syndrome,33,
cystocele,33,
elephantiasis,33,
"epilepsies, myoclonic",33,
exfoliation syndrome,33,
femoracetabular impingement,33,
"gastritis, atrophic",33,
"hematoma, subdural",33,
"hernia, umbilical",33,
"hypoxia, brain",33,
kyphosis,33,
"leukemia, myeloid, chronic, atypical, bcr-abl negative",33,
"malocclusion, angle class ii",33,
myocardial reperfusion injury,33,
"niemann-pick disease, type a",33,
"niemann-pick disease, type c",33,
niemann-pick diseases,33,
perinatal death,33,
pituitary acth hypersecretion,33,
soft tissue neoplasms,33,
urinary calculi,33,
agoraphobia,32,
anti-neutrophil cytoplasmic antibody-associated vasculitis,32,
apraxias,32,
"conjunctivitis, bacterial",32,
corneal ulcer,32,
endometritis,32,
facial paralysis,32,
femur head necrosis,32,
fuchs' endothelial dystrophy,32,
gram-positive bacterial infections,32,
halitosis,32,
"heart septal defects, ventricular",32,
hyaline membrane disease,32,
"hyperbilirubinemia, neonatal",32,
hypocalcemia,32,
intracranial arteriosclerosis,32,
"lipid metabolism, inborn errors",32,
"lupus erythematosus, cutaneous",32,
muscle hypotonia,32,
porphyrias,32,
rib fractures,32,
spinal cord neoplasms,32,
"acidosis, lactic",31,
adjustment disorders,31,
"anxiety, separation",31,
azoospermia,31,
bruxism,31,
bunion,31,
choledocholithiasis,31,
dystocia,31,
enterovirus infections,31,
"fibromatosis, aggressive",31,
"hearing loss, conductive",31,
"hepatitis, autoimmune",31,
hepatoblastoma,31,
"hernia, hiatal",31,
"histiocytoma, malignant fibrous",31,
infant death,31,
"jaundice, obstructive",31,
leukoencephalopathies,31,
meniere disease,31,
mucocutaneous lymph node syndrome,31,
persistent vegetative state,31,
"porphyria, erythropoietic",31,
"purpura, thrombotic thrombocytopenic",31,
rare diseases,31,
stomach diseases,31,
"syncope, vasovagal",31,
synovitis,31,
"uveitis, posterior",31,
affective symptoms,30,
aortic diseases,30,
"carcinoma, islet cell",30,
digeorge syndrome,30,
goiter,30,
hepatitis d,30,
hepatorenal syndrome,30,
hereditary breast and ovarian cancer syndrome,30,
iridocyclitis,30,
lentigo,30,
myocarditis,30,
neurofibromatosis 2,30,
sialorrhea,30,
soft tissue injuries,30,
staphylococcal skin infections,30,
status asthmaticus,30,
thyroiditis,30,
trichotillomania,30,
uterine diseases,30,
yellow fever,30,
azotemia,29,
bell palsy,29,
fetal alcohol spectrum disorders,29,
"fractures, ununited",29,
hemangiosarcoma,29,
"hyperlipidemia, familial combined",29,
"infarction, middle cerebral artery",29,
language disorders,29,
lyme disease,29,
"mastocytosis, systemic",29,
nevus,29,
"pregnancy, ectopic",29,
schizophrenia spectrum and other psychotic disorders,29,
solitary pulmonary nodule,29,
spinal cord compression,29,
tooth discoloration,29,
ventricular premature complexes,29,
von hippel-lindau disease,29,
wiskott-aldrich syndrome,29,
zika virus infection,29,
abdominal injuries,28,
"adenocarcinoma, follicular",28,
brain infarction,28,
"carcinoma, acinar cell",28,
cardiovascular abnormalities,28,
cellulite,28,
diabetic ketoacidosis,28,
dysbiosis,28,
"dysentery, bacillary",28,
"elephantiasis, filarial",28,
epidermolysis bullosa dystrophica,28,
"epilepsy, generalized",28,
funnel chest,28,
gastrinoma,28,
gram-negative bacterial infections,28,
"hand, foot and mouth disease",28,
hookworm infections,28,
intraoperative complications,28,
klinefelter syndrome,28,
lactose intolerance,28,
learning disorders,28,
lennox gastaut syndrome,28,
lysosomal storage diseases,28,
monoclonal gammopathy of undetermined significance,28,
"muscular dystrophy, facioscapulohumeral",28,
neoplasms by site,28,
orthomyxoviridae infections,28,
panuveitis,28,
tachypnea,28,
"tooth, nonvital",28,
ventilator-induced lung injury,28,
abdominal neoplasms,27,
"anemia, hemolytic, autoimmune",27,
"aneurysm, dissecting",27,
blister,27,
blood platelet disorders,27,
brenner tumor,27,
ciliary motility disorders,27,
conversion disorder,27,
"epilepsy, temporal lobe",27,
familial hypophosphatemic rickets,27,
hematuria,27,
"hernia, abdominal",27,
mucopolysaccharidosis iii,27,
mumps,27,
parathyroid neoplasms,27,
"sarcoidosis, pulmonary",27,
"sexual dysfunction, physiological",27,
"spasms, infantile",27,
"trauma, nervous system",27,
trichomonas infections,27,
varicocele,27,
behavioral symptoms,26,
biliary atresia,26,
body dysmorphic disorders,26,
"bronchiolitis, viral",26,
brugada syndrome,26,
craniosynostoses,26,
dental pulp necrosis,26,
drug hypersensitivity,26,
duodenal neoplasms,26,
ear diseases,26,
ehlers-danlos syndrome,26,
empyema,26,
foot-and-mouth disease,26,
"genital neoplasms, male",26,
hand injuries,26,
hypopharyngeal neoplasms,26,
hypophosphatemia,26,
infant nutrition disorders,26,
insulinoma,26,
"jaundice, neonatal",26,
kartagener syndrome,26,
leprosy,26,
"leukodystrophy, metachromatic",26,
mastodynia,26,
orthostatic intolerance,26,
persian gulf syndrome,26,
persistent fetal circulation syndrome,26,
polyradiculoneuropathy,26,
rem sleep behavior disorder,26,
tendon injuries,26,
ancylostomiasis,25,
atrophic vaginitis,25,
basal cell nevus syndrome,25,
benign paroxysmal positional vertigo,25,
"carcinoma, pancreatic ductal",25,
"carcinoma, papillary",25,
chikungunya fever,25,
chronic kidney disease-mineral and bone disorder,25,
"cystadenocarcinoma, mucinous",25,
"disruptive, impulse control, and conduct disorders",25,
embolism and thrombosis,25,
exanthema,25,
eye neoplasms,25,
flatfoot,25,
"hepatitis, viral, human",25,
hyperhomocysteinemia,25,
hypopituitarism,25,
iliac aneurysm,25,
lipidoses,25,
"muscular disorders, atrophic",25,
"muscular dystrophies, limb-girdle",25,
"myositis, inclusion body",25,
"nephrosis, lipoid",25,
osteochondrodysplasias,25,
overbite,25,
penile neoplasms,25,
placenta accreta,25,
"prostatic neoplasms, castration-resistant",25,
seasonal affective disorder,25,
seroma,25,
shoulder injuries,25,
"stomatitis, aphthous",25,
takotsubo cardiomyopathy,25,
wolman disease,25,
"abdomen, acute",24,
anodontia,24,
arachnodactyly,24,
arm injuries,24,
"carcinoma, bronchogenic",24,
combat disorders,24,
community-acquired infections,24,
"dermatitis, seborrheic",24,
desmoplastic small round cell tumor,24,
encephalomyelitis,24,
guillain-barre syndrome,24,
hand-foot syndrome,24,
"hematoma, subdural, chronic",24,
histiocytoma,24,
hypophosphatasia,24,
intracranial embolism,24,
leukoplakia,24,
marfan syndrome,24,
mucopolysaccharidosis iv,24,
mucopolysaccharidosis vi,24,
neural tube defects,24,
neuronal ceroid-lipofuscinoses,24,
pars planitis,24,
"pneumonia, aspiration",24,
"pneumonia, pneumococcal",24,
prostatic diseases,24,
rectal prolapse,24,
thoracic diseases,24,
thoracic injuries,24,
transient tachypnea of the newborn,24,
transposition of great vessels,24,
ureteral obstruction,24,
"uveitis, intermediate",24,
"amino acid metabolism, inborn errors",23,
"amyloid neuropathies, familial",23,
anhedonia,23,
appendiceal neoplasms,23,
"cholestasis, intrahepatic",23,
chorioamnionitis,23,
choroid plexus neoplasms,23,
congenital hyperinsulinism,23,
coronavirus infections,23,
endophthalmitis,23,
eye infections,23,
familial mediterranean fever,23,
fibroma,23,
hepatitis e,23,
hyperprolactinemia,23,
ichthyosis,23,
intra-abdominal hypertension,23,
invasive pulmonary aspergillosis,23,
language development disorders,23,
"leukemia, basophilic, acute",23,
maternal death,23,
mitral valve stenosis,23,
motor skills disorders,23,
ocular motility disorders,23,
periodontal pocket,23,
rheumatic heart disease,23,
thinness,23,
trachoma,23,
vitreous hemorrhage,23,
voice disorders,23,
"adenocarcinoma, bronchiolo-alveolar",22,
aortic coarctation,22,
atypical hemolytic uremic syndrome,22,
binge drinking,22,
breech presentation,22,
carbon monoxide poisoning,22,
cerebral small vessel diseases,22,
choriocarcinoma,22,
communication disorders,22,
cryptosporidiosis,22,
cystinosis,22,
esophageal motility disorders,22,
esophageal stenosis,22,
"fractures, open",22,
hyperemia,22,
"hyperoxaluria, primary",22,
hypotrichosis,22,
lead poisoning,22,
"leukemia, eosinophilic, acute",22,
"leukemia, plasma cell",22,
"lupus erythematosus, discoid",22,
lymphopenia,22,
multiple endocrine neoplasia,22,
"mycobacterium infections, nontuberculous",22,
premenstrual dysphoric disorder,22,
"signs and symptoms, digestive",22,
spinal neoplasms,22,
stuttering,22,
trigger finger disorder,22,
trypanosomiasis,22,
"ventricular dysfunction, right",22,
vesico-ureteral reflux,22,
acute chest syndrome,21,
alpha-mannosidosis,21,
amnesia,21,
biliary tract diseases,21,
blepharoptosis,21,
"carbohydrate metabolism, inborn errors",21,
carcinogenesis,21,
"carcinoma, medullary",21,
chronobiology disorders,21,
cryopyrin-associated periodic syndromes,21,
ectodermal dysplasia,21,
escherichia coli infections,21,
frontotemporal lobar degeneration,21,
gastroschisis,21,
"glaucoma, neovascular",21,
haemophilus infections,21,
hemosiderosis,21,
hyperpigmentation,21,
impetigo,21,
lambert-eaton myasthenic syndrome,21,
"liver cirrhosis, alcoholic",21,
mannosidase deficiency diseases,21,
oligospermia,21,
opportunistic infections,21,
"optic atrophy, hereditary, leber",21,
osteochondritis,21,
otitis externa,21,
paramyxoviridae infections,21,
pelvic inflammatory disease,21,
pleural diseases,21,
polyarteritis nodosa,21,
pouchitis,21,
pseudarthrosis,21,
pulmonary alveolar proteinosis,21,
pulmonary heart disease,21,
"purpura, schoenlein-henoch",21,
radiation pneumonitis,21,
rectocele,21,
rhabdomyolysis,21,
"sarcoma, alveolar soft part",21,
"schizophrenia, paranoid",21,
schizotypal personality disorder,21,
seminoma,21,
speech disorders,21,
spina bifida cystica,21,
synovial cyst,21,
toxoplasmosis,21,
vitreous detachment,21,
vocal cord paralysis,21,
abdominal abscess,20,
"aphasia, broca",20,
"carcinoma, mucoepidermoid",20,
cheyne-stokes respiration,20,
colles' fracture,20,
corneal edema,20,
corneal opacity,20,
demyelinating diseases,20,
dental pulp diseases,20,
"dermatitis, allergic contact",20,
eisenmenger complex,20,
fibrosarcoma,20,
fungemia,20,
gastric outlet obstruction,20,
hearing disorders,20,
histoplasmosis,20,
"leukemia, biphenotypic, acute",20,
"leukemia, mast-cell",20,
"meningitis, bacterial",20,
microsatellite instability,20,
mitochondrial myopathies,20,
motor disorders,20,
mydriasis,20,
nociceptive pain,20,
otorhinolaryngologic diseases,20,
pelvic infection,20,
pharyngeal neoplasms,20,
proctitis,20,
prosthesis failure,20,
psychological trauma,20,
pulmonary eosinophilia,20,
pyloric stenosis,20,
rectal diseases,20,
small fiber neuropathy,20,
spinal muscular atrophies of childhood,20,
trismus,20,
addison disease,19,
bile duct diseases,19,
bronchial neoplasms,19,
cataplexy,19,
corneal neovascularization,19,
craniofacial abnormalities,19,
"esophageal spasm, diffuse",19,
exotropia,19,
fetal macrosomia,19,
"headache disorders, secondary",19,
hemangiopericytoma,19,
"hepatitis d, chronic",19,
hepatolenticular degeneration,19,
hereditary autoinflammatory diseases,19,
hirschsprung disease,19,
"histiocytoma, benign fibrous",19,
hyperventilation,19,
"leukemia, neutrophilic, chronic",19,
"leukomalacia, periventricular",19,
leukopenia,19,
lymphatic diseases,19,
meningomyelocele,19,
muscle hypertonia,19,
osteochondritis dissecans,19,
ovarian diseases,19,
"pancreatitis, acute necrotizing",19,
"paraparesis, tropical spastic",19,
pericarditis,19,
protein-energy malnutrition,19,
pyoderma,19,
"red-cell aplasia, pure",19,
respiratory hypersensitivity,19,
retinal artery occlusion,19,
rna virus infections,19,
serotonin syndrome,19,
"skin diseases, bacterial",19,
somatosensory disorders,19,
stevens-johnson syndrome,19,
stomatognathic diseases,19,
tooth erosion,19,
"trypanosomiasis, african",19,
visceral pain,19,
amyloid neuropathies,18,
aphakia,18,
ataxia telangiectasia,18,
choroideremia,18,
contusions,18,
crush injuries,18,
eunuchism,18,
giant cell tumors,18,
giant lymph node hyperplasia,18,
hypernatremia,18,
kwashiorkor,18,
"leukodystrophy, globoid cell",18,
myelitis,18,
"neoplasms, fibrous tissue",18,
"neoplastic syndromes, hereditary",18,
osteomalacia,18,
pancreatic pseudocyst,18,
pigmentation disorders,18,
retinal neovascularization,18,
rotator cuff tear arthropathy,18,
"substance abuse, intravenous",18,
sudden infant death,18,
surgical wound dehiscence,18,
urethral stricture,18,
"abnormalities, multiple",17,
"abortion, missed",17,
"affective disorders, psychotic",17,
arrhythmogenic right ventricular dysplasia,17,
body temperature changes,17,
egg hypersensitivity,17,
esotropia,17,
"hearing loss, bilateral",17,
hemifacial spasm,17,
hypercalciuria,17,
intraoperative awareness,17,
leber congenital amaurosis,17,
leg length inequality,17,
"leukoencephalopathy, progressive multifocal",17,
"leukoplakia, oral",17,
mitral valve prolapse,17,
"myopia, degenerative",17,
neoplasms by histologic type,17,
neurocysticercosis,17,
parathyroid diseases,17,
postpoliomyelitis syndrome,17,
prosthesis-related infections,17,
pseudomyxoma peritonei,17,
"sarcoma, clear cell",17,
scabies,17,
taeniasis,17,
underage drinking,17,
urinary bladder neck obstruction,17,
adenomyoepithelioma,16,
"angina pectoris, variant",16,
auditory perceptual disorders,16,
burning mouth syndrome,16,
cerebrospinal fluid leak,16,
cysticercosis,16,
"ectodermal dysplasia 1, anhidrotic",16,
enterobacteriaceae infections,16,
"enterocolitis, pseudomembranous",16,
"epilepsy, absence",16,
feeding and eating disorders of childhood,16,
fetal diseases,16,
fibrocystic breast disease,16,
furcation defects,16,
gangrene,16,
glucagonoma,16,
gynatresia,16,
"hearing loss, mixed conductive-sensorineural",16,
"hearing loss, unilateral",16,
hemoglobin sc disease,16,
hip injuries,16,
hirsutism,16,
hyperlipoproteinemia type i,16,
inappropriate adh syndrome,16,
"intestinal diseases, parasitic",16,
intracranial arteriovenous malformations,16,
lichen sclerosus et atrophicus,16,
lymphocele,16,
microcephaly,16,
"neoplasm recurrence, local",16,
osteopetrosis,16,
paraparesis,16,
